LifeExpectancy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Nepal,48.15460976,48.72631707,49.30221951,49.88173171,50.46580488,51.04982927,51.63063415,52.20663415,52.78173171,53.36143902,53.95673171,54.58070732,55.2424878,55.94568293,56.68936585,57.46863415,58.2735122,59.09,59.90609756,60.71580488,61.52163415,62.33260976,63.15365854,63.98029268,64.79895122,65.58658537,66.31514634,66.96609756,67.52795122,68.00168293,68.39482927
Afghanistan,39.20412195,39.52695122,39.83982927,40.1492439,40.45868293,40.77058537,41.08487805,41.399,41.71092683,42.02119512,42.32936585,42.636,42.93973171,43.24209756,43.54265854,43.84090244,44.13680488,44.42980488,44.72134146,45.00985366,45.29285366,45.56726829,45.83314634,46.09243902,46.35119512,46.61641463,46.89909756,47.20531707,47.53856098,47.89885366,48.28219512
Bangladesh,55.23585366,55.80892683,56.08019512,56.30812195,56.58190244,56.95241463,57.42321951,57.93636585,58.44697561,58.95807317,59.47114634,59.98970732,60.51473171,61.04673171,61.58321951,62.12268293,62.66212195,63.19656098,63.72197561,64.23390244,64.73034146,65.20831707,65.66831707,66.10985366,66.53136585,66.93229268,67.31007317,67.66665854,68.00402439,68.32521951,68.63480488
Maldives,52.62882927,53.68890244,54.70485366,55.65121951,56.51836585,57.30807317,58.034,58.729,59.42458537,60.13734146,60.88463415,61.67634146,62.51141463,63.38612195,64.29907317,65.25373171,66.25185366,67.28160976,68.32573171,69.36421951,70.37412195,71.33068293,72.21807317,73.02441463,73.74314634,74.37114634,74.91268293,75.38702439,75.81104878,76.19565854,76.55141463
Pakistan,57.91482927,58.24236585,58.55197561,58.84814634,59.13387805,59.41317073,59.68804878,59.961,60.2305122,60.49907317,60.76719512,61.03334146,61.29502439,61.55173171,61.80197561,62.04573171,62.282,62.51231707,62.73517073,62.95253659,63.16195122,63.36239024,63.55336585,63.73885366,63.92080488,64.10468293,64.29743902,64.50253659,64.72195122,64.95521951,65.19885366
SriLanka,68.22192683,68.64512195,68.972,69.19482927,69.31990244,69.37273171,69.39380488,69.422,69.48190244,69.57804878,69.67868293,69.73139024,69.69912195,69.57797561,69.39526829,69.22885366,69.1782439,69.3162439,69.67714634,70.25170732,70.98429268,71.78380488,72.54390244,73.18156098,73.66514634,73.98934146,74.18263415,74.31207317,74.43326829,74.56660976,74.72260976
India,55.34707317,55.73758537,56.09036585,56.4197561,56.73265854,57.03192683,57.31736585,57.58843902,57.84709756,58.09939024,58.35285366,58.61568293,58.8925122,59.1864878,59.49917073,59.83156098,60.17860976,60.53573171,60.89534146,61.25587805,61.61387805,61.96878049,62.32112195,62.67095122,63.01931707,63.3672439,63.71680488,64.06853659,64.42295122,64.77856098,65.13134146
Bhutan,46.35921951,46.9834878,47.59070732,48.18241463,48.76212195,49.33936585,49.92570732,50.53614634,51.17970732,51.86287805,52.58963415,53.35895122,54.16378049,54.99412195,55.84697561,56.72339024,57.62943902,58.56214634,59.51004878,60.45609756,61.37421951,62.23731707,63.02680488,63.73160976,64.34821951,64.88063415,65.34239024,65.75909756,66.15131707,66.53204878,66.90885366
