GDP,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Nepal,271.4218479,314.1060091,337.7467687,332.6792989,369.730157,394.9706795,412.3673481,421.5556739,458.785866,484.9093441,514.0184685,551.6545166,572.1081871,592.276486,637.914075,658.7965971,688.8675464,719.5881279,733.500723,758.4948873,803.5501423,841.2307962,836.4154588,868.0013532,914.1104097,953.8109234,1000.929336,1044.860696,1112.324773,1156.945147,1199.76708
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,567.0599224,610.3373495,616.3865121,688.2150537,729.2276501,829.9719775,854.7608577,1019.194919,1082.321717
Bangladesh,323.1427834,356.8664087,377.2619965,397.1915054,422.0292067,436.9926644,453.2599676,471.0190804,484.8431918,503.0685667,539.6405635,563.1681808,590.5442561,617.5396798,642.0936247,675.1440949,704.2207447,741.3739399,775.6674362,809.7182097,860.3353049,909.7297403,948.6301322,1002.731879,1078.824351,1164.596077,1265.962708,1370.956733,1472.455669,1560.838355,1648.628935
Maldives,,,,,,,,,,,,,,,,2672.293387,2905.331215,3205.793776,3503.31535,3744.420266,3939.854389,4100.016071,4350.587569,4993.141672,5688.455259,5290.116145,6439.154815,7225.852351,8176.332198,7787.372606,8182.430021
Pakistan,584.4042276,666.7158728,728.161217,780.9739765,822.7526395,881.9597237,920.0576938,975.4982664,1052.1937,1111.254781,1170.103652,1236.55167,1324.858234,1343.329739,1386.488259,1451.440061,1508.566529,1512.537803,1532.357264,1572.339166,1637.001202,1672.178198,1720.895807,1809.428573,1962.517474,2144.795404,2309.015563,2466.210847,2515.144946,2592.615676,2655.268472
SriLanka,741.5070096,851.4532748,919.1363381,987.134084,1063.601868,1133.518645,1187.966972,1225.185021,1281.511513,1342.055304,1465.552786,1561.931056,1649.811029,1779.843758,1891.520255,2014.394242,2104.755298,2254.225373,2365.773333,2467.959111,2666.20451,2728.071878,2863.398381,3056.681084,3269.063261,3550.213338,3903.214252,4250.648045,4562.624535,4731.749171,5096.552859
India,419.8730052,475.6407447,510.295395,556.3360588,585.9161589,621.4849189,651.1543271,681.7242372,756.8595742,814.548343,873.7632667,894.4514923,944.1442544,990.9063208,1057.729465,1142.452892,1227.466269,1278.371811,1352.291409,1462.697536,1527.741819,1612.879236,1676.023195,1818.559031,1985.720126,2208.587226,2454.448294,2733.14993,2861.118642,3093.747083,3366.197153
Bhutan,416.9048673,505.2967725,540.7694715,610.8849581,645.5505283,674.071139,745.6794864,954.4028742,1004.719615,1095.248072,1248.369899,1291.897266,1403.516235,1496.917833,1635.114591,1808.211865,1935.383526,2048.428464,2150.048112,2292.676134,2435.027346,2617.599817,2858.118964,3049.374729,3227.099634,3480.179809,3750.961769,4459.71012,4684.222472,4977.889721,5508.272557
